Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 20/01/2022
TIME       : 00:22:39
FILENAME   : C:\Users\CEMIE\Downloads\Chelem_practica ENES 20220119\CSV\chelem_practica_220120002238_V6105.CSV
CREATED BY : Diver-Office 10.0.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..36-V6105  317.
  Instrument number       =          UTC+0     
                          =0
  Location                =chelem_practica
  Sample period           =S01
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.00    cm
  Range                   =10750.00  cm
  Master level            =10750     CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..36-V6105  317.
  Instrument number       =          UTC+0     
  Location                =chelem_practica
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:15 19/01/22
  End date / time         =04:44:19 19/01/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.00    cm
  Range                   =10750.00  cm
  Master level            =10750     CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],1:Conductivity[mS/cm]
2022/01/19 15:32:02,1034.25,24.380,0.000
2022/01/19 15:32:03,1036.04,24.387,0.000
2022/01/19 15:32:04,1034.97,24.393,0.000
2022/01/19 15:32:05,1034.25,24.400,0.000
2022/01/19 15:32:06,1034.97,24.410,0.000
2022/01/19 15:32:07,1034.25,24.417,0.000
2022/01/19 15:32:08,1034.97,24.423,0.000
2022/01/19 15:32:09,1034.25,24.433,0.000
2022/01/19 15:32:10,1034.97,24.440,0.000
2022/01/19 15:32:11,1034.61,24.450,0.000
2022/01/19 15:32:12,1034.97,24.457,0.000
2022/01/19 15:32:13,1034.97,24.463,0.000
2022/01/19 15:32:14,1034.25,24.473,0.000
2022/01/19 15:32:15,1034.97,24.480,0.000
2022/01/19 15:32:16,1034.25,24.487,0.000
2022/01/19 15:32:17,1033.89,24.497,0.000
2022/01/19 15:32:18,1034.25,24.503,0.000
2022/01/19 15:32:19,1033.89,24.513,0.000
2022/01/19 15:32:20,1033.89,24.520,0.000
2022/01/19 15:32:21,1034.25,24.527,0.000
2022/01/19 15:32:22,1034.25,24.533,0.000
2022/01/19 15:32:23,1033.89,24.543,0.000
2022/01/19 15:32:24,1034.25,24.553,0.000
2022/01/19 15:32:25,1034.97,24.560,0.000
2022/01/19 15:32:26,1033.89,24.567,0.000
2022/01/19 15:32:27,1034.97,24.577,0.000
2022/01/19 15:32:28,1034.25,24.583,0.000
2022/01/19 15:32:29,1034.97,24.593,0.000
2022/01/19 15:32:30,1033.89,24.600,0.000
2022/01/19 15:32:31,1034.97,24.610,0.000
2022/01/19 15:32:32,1034.97,24.617,0.000
2022/01/19 15:32:33,1034.97,24.627,0.000
2022/01/19 15:32:34,1033.89,24.633,0.000
2022/01/19 15:32:35,1034.25,24.643,0.000
2022/01/19 15:32:36,1034.97,24.650,0.000
2022/01/19 15:32:37,1034.25,24.657,0.000
2022/01/19 15:32:38,1034.97,24.667,0.000
2022/01/19 15:32:39,1034.25,24.677,0.000
2022/01/19 15:32:40,1034.97,24.683,0.000
2022/01/19 15:32:41,1034.97,24.690,0.000
2022/01/19 15:32:42,1034.97,24.700,0.000
2022/01/19 15:32:43,1034.25,24.707,0.000
2022/01/19 15:32:44,1034.97,24.717,0.000
2022/01/19 15:32:45,1034.97,24.727,0.000
2022/01/19 15:32:46,1034.25,24.733,0.000
2022/01/19 15:32:47,1033.89,24.743,0.000
2022/01/19 15:32:48,1033.89,24.750,0.000
2022/01/19 15:32:49,1034.25,24.760,0.000
2022/01/19 15:32:50,1034.25,24.767,0.000
2022/01/19 15:32:51,1034.97,24.777,0.000
2022/01/19 15:32:52,1036.04,24.783,0.000
2022/01/19 15:32:53,1034.25,24.793,0.000
2022/01/19 15:32:54,1034.97,24.803,0.000
2022/01/19 15:32:55,1035.33,24.813,0.000
2022/01/19 15:32:56,1034.97,24.820,0.000
2022/01/19 15:32:57,1033.89,24.830,0.000
2022/01/19 15:32:58,1034.97,24.837,0.000
2022/01/19 15:32:59,1034.25,24.843,0.000
2022/01/19 15:33:00,1034.25,24.850,0.000
2022/01/19 15:33:01,1034.25,24.860,0.000
2022/01/19 15:33:02,1034.97,24.870,0.000
2022/01/19 15:33:03,1034.97,24.877,0.000
2022/01/19 15:33:04,1034.25,24.887,0.000
2022/01/19 15:33:05,1034.97,24.893,0.000
2022/01/19 15:33:06,1034.25,24.903,0.000
2022/01/19 15:33:07,1034.97,24.913,0.000
2022/01/19 15:33:08,1034.97,24.923,0.000
2022/01/19 15:33:09,1034.97,24.930,0.000
2022/01/19 15:33:10,1035.33,24.940,0.000
2022/01/19 15:33:11,1034.97,24.947,0.000
2022/01/19 15:33:12,1034.25,24.953,0.000
2022/01/19 15:33:13,1035.33,24.963,0.000
2022/01/19 15:33:14,1035.33,24.970,0.000
2022/01/19 15:33:15,1034.97,24.980,0.000
2022/01/19 15:33:16,1034.25,24.990,0.000
2022/01/19 15:33:17,1035.33,24.997,0.000
2022/01/19 15:33:18,1034.97,25.007,0.000
2022/01/19 15:33:19,1034.25,25.017,0.000
2022/01/19 15:33:20,1034.25,25.023,0.000
2022/01/19 15:33:21,1033.89,25.033,0.000
2022/01/19 15:33:22,1035.33,25.040,0.000
2022/01/19 15:33:23,1034.25,25.050,0.000
2022/01/19 15:33:24,1033.89,25.060,0.000
2022/01/19 15:33:25,1034.25,25.070,0.000
2022/01/19 15:33:26,1034.25,25.077,0.000
2022/01/19 15:33:27,1034.25,25.087,0.000
2022/01/19 15:33:28,1034.25,25.093,0.000
2022/01/19 15:33:29,1034.25,25.103,0.000
